week,title,unit,before,theory1,theory2,lab,after
1,Agents: task and environment,1,Review the learning outcomes for unit 1; write one question.,Specify PEAS and environment assumptions.,Compare reflex and model-based behaviour.,Vacuum laboratory and foundation challenge.,"Save an evidence report, add one edge case and revisit one uncertain concept."
2,Agents: modelling and evidence,1,Review the learning outcomes for unit 1; write one question.,Rationality and expected utility.,Coupled Loopover actions and invariant reasoning.,Agent policy exercise and applied challenge.,"Save an evidence report, add one edge case and revisit one uncertain concept."
3,Search: formalise and trace,2,Review the learning outcomes for unit 2; write one question.,"States, actions, goals and path costs.","BFS, DFS and duplicate detection.",Trace shared instances and report frontier contents.,"Save an evidence report, add one edge case and revisit one uncertain concept."
4,Search: costs and limits,2,Review the learning outcomes for unit 2; write one question.,UCS and goal-test timing.,"Depth limits, cutoffs and resource growth.",Implement UCS; replay returned paths.,"Save an evidence report, add one edge case and revisit one uncertain concept."
5,Heuristics: justify the estimate,3,Review the learning outcomes for unit 3; write one question.,Greedy search and A*.,"Admissibility, consistency and counterexamples.",Heuristic audit and foundation challenge.,"Save an evidence report, add one edge case and revisit one uncertain concept."
6,Heuristics: implement and compare,3,Review the learning outcomes for unit 3; write one question.,Reopening and stale entries.,Loopover lower bounds and experimental design.,Implement A*; compare with a certified shallow baseline.,"Save an evidence report, add one edge case and revisit one uncertain concept."
7,Constraints: model and propagate,4,Review the learning outcomes for unit 4; write one question.,"Variables, domains and constraints.",Forward checking and arc consistency.,Colouring laboratory and local-versus-global reasoning.,"Save an evidence report, add one edge case and revisit one uncertain concept."
8,Constraints: search efficiently,4,Review the learning outcomes for unit 4; write one question.,MRV and value ordering.,Global constraints and local search.,Implement colouring; compare propagation strategies.,"Save an evidence report, add one edge case and revisit one uncertain concept."
9,Games: reason against an opponent,5,Review the learning outcomes for unit 5; write one question.,Minimax assumptions and utility.,Alpha–beta exact values and bounds.,Trace pruning and implement stable tie handling.,"Save an evidence report, add one edge case and revisit one uncertain concept."
10,Games: evaluate and order,5,Review the learning outcomes for unit 5; write one question.,Cutoff evaluation and move ordering.,Chance nodes and expectimax.,Compare leaf evaluations on the same tree.,"Save an evidence report, add one edge case and revisit one uncertain concept."
11,RL: model sequential rewards,6,Review the learning outcomes for unit 6; write one question.,"MDPs, returns and discounting.",Bellman backups and value iteration.,Calculate targets and inspect value propagation.,"Save an evidence report, add one edge case and revisit one uncertain concept."
12,RL: learn from samples,6,Review the learning outcomes for unit 6; write one question.,"TD, Q-learning and SARSA.",Exploration and terminal versus truncated episodes.,Run the Python exercise and multi-seed comparisons.,"Save an evidence report, add one edge case and revisit one uncertain concept."
13,RL: evaluate and diagnose,6,Review the learning outcomes for unit 6; write one question.,Frozen-policy evaluation and dispersion.,Reward design and generalisation.,Complete the applied/extension RL challenge.,"Save an evidence report, add one edge case and revisit one uncertain concept."
14,Project clinic,3,Review the learning outcomes for unit 3; write one question.,Audit Loopover models and optimality claims.,Reproduce another team’s experiment.,Peer review with the project rubric.,"Save an evidence report, add one edge case and revisit one uncertain concept."
15,Synthesis and defence,6,Review the learning outcomes for unit 6; write one question.,Connect assumptions across the six models.,Explain a failure case and defend a design choice.,"Project demonstration, targeted review and reflection.","Save an evidence report, add one edge case and revisit one uncertain concept."
